"GID","SYMBOL","GENENAME"
106898363,"LOC106898363","rho guanine nucleotide exchange factor 11-like"
106898364,"LOC106898364","ankyrin repeat domain-containing protein 35-like"
106898365,"LOC106898365","ankyrin repeat domain-containing protein 35-like"
106898366,"LOC106898366","DNA-directed RNA polymerase III subunit RPC3-like"
106898367,"LOC106898367","DNA-directed RNA polymerase III subunit RPC3-like"
106898370,"LOC106898370","integrin alpha-10-like"
106898377,"LOC106898377","uncharacterized LOC106898377"
106898378,"LOC106898378","toll-like receptor 2"
106898380,"LOC106898380","uncharacterized LOC106898380"
106898381,"LOC106898381","gonadotropin-releasing hormone II receptor-like"
106898382,"LOC106898382","uncharacterized LOC106898382"
106898384,"LOC106898384","uncharacterized LOC106898384"
106898391,"LOC106898391","nucleoporin NUP53-like"
106898394,"LOC106898394","uncharacterized LOC106898394"
106898395,"LOC106898395","nucleoporin NUP53-like"
106898401,"LOC106898401","uncharacterized LOC106898401"
106898402,"LOC106898402","uncharacterized LOC106898402"
106898408,"LOC106898408","protocadherin alpha-3 pseudogene"
106898409,"LOC106898409","protocadherin alpha-2 pseudogene"
106898411,"LOC106898411","stimulator of interferon genes protein-like"
106898412,"LOC106898412","protocadherin beta-16-like"
106898421,"LOC106898421","toll-like receptor 2"
106898422,"LOC106898422","uncharacterized LOC106898422"
106898425,"LOC106898425","histidine--tRNA ligase, cytoplasmic"
106898427,"LOC106898427","histidine--tRNA ligase, cytoplasmic-like"
106898428,"LOC106898428","histidine--tRNA ligase, cytoplasmic-like"
106898432,"LOC106898432","uncharacterized LOC106898432"
106898440,"LOC106898440","cytochrome c oxidase subunit 5A, mitochondrial"
106898441,"LOC106898441","ribonuclease P protein subunit p25-like"
106898442,"LOC106898442","ribonuclease P protein subunit p25-like"
106898446,"LOC106898446","uncharacterized LOC106898446"
106898449,"LOC106898449","E3 ubiquitin-protein ligase TRIM39-like"
106898450,"LOC106898450","fibrinogen-like protein 1-like protein"
106898451,"LOC106898451","fibrinogen-like protein 1-like protein"
106898452,"LOC106898452","fibrinogen-like protein 1-like protein"
106898453,"LOC106898453","fibrinogen-like protein 1-like protein"
106898456,"LOC106898456","schlafen family member 11-like"
106898457,"LOC106898457","fibrinogen-like protein 1-like protein"
106898460,"LOC106898460","eosinophil peroxidase-like"
106898461,"LOC106898461","eosinophil peroxidase-like"
106898467,"LOC106898467","C-C motif chemokine 5-like"
106898468,"LOC106898468","C-C motif chemokine 4 homolog"
106898469,"LOC106898469","C-C motif chemokine 4-like"
106898470,"LOC106898470","1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like"
106898471,"LOC106898471","C-C motif chemokine 4 homolog"
106898472,"LOC106898472","uncharacterized LOC106898472"
106898473,"LOC106898473","uncharacterized LOC106898473"
106898476,"LOC106898476","fibrinogen-like protein 1-like protein"
106898477,"LOC106898477","fibrinogen-like protein 1-like protein"
106898485,"LOC106898485","high affinity nerve growth factor receptor-like"
106898487,"LOC106898487","multiple epidermal growth factor-like domains protein 6"
106898490,"LOC106898490","phosphatase and actin regulator 4-like"
106898491,"LOC106898491","uncharacterized LOC106898491"
106898493,"LOC106898493","counting factor associated protein D-like"
106898494,"LOC106898494","digestive cysteine proteinase 1-like"
106898499,"LOC106898499","uncharacterized LOC106898499"
106898501,"LOC106898501","uncharacterized LOC106898501"
106898502,"LOC106898502","olfactory receptor 14A16-like"
106898506,"LOC106898506","uncharacterized LOC106898506"
106898508,"LOC106898508","uncharacterized LOC106898508"
106898511,"LOC106898511","semaphorin-4C-like"
106898512,"LOC106898512","SMC5-SMC6 complex localization factor protein 2-like"
106898517,"LOC106898517","histone-arginine methyltransferase CARM1-like"
106898518,"LOC106898518","dynamin-2-like"
106898519,"LOC106898519","rho guanine nucleotide exchange factor 11-like"
106898520,"LOC106898520","uncharacterized LOC106898520"
106898522,"LOC106898522","p53 apoptosis effector related to PMP-22-like"
106898524,"LOC106898524","p53 apoptosis effector related to PMP-22-like"
106898528,"LOC106898528","putative DBH-like monooxygenase protein 2"
106898534,"LOC106898534","chromosome unknown open reading frame, human C12orf4"
106898535,"LOC106898535","E3 ubiquitin-protein ligase MYCBP2-like"
106898536,"LOC106898536","uncharacterized LOC106898536"
106898541,"LOC106898541","T-cell activation Rho GTPase-activating protein-like"
106898543,"LOC106898543","uncharacterized LOC106898543"
106898544,"LOC106898544","bromodomain-containing protein 2-like"
106898545,"LOC106898545","class II histocompatibility antigen, B-L beta chain-like"
106898546,"LOC106898546","class II histocompatibility antigen, B-L beta chain-like"
106898548,"LOC106898548","HLA class II histocompatibility antigen, DR alpha chain-like"
106898549,"LOC106898549","collagen alpha-2(XI) chain-like"
106898550,"LOC106898550","retinoic acid receptor RXR-beta-A-like"
106898551,"LOC106898551","zinc transporter SLC39A7-like"
106898552,"LOC106898552","zinc transporter SLC39A7-like"
106898553,"LOC106898553","RLA class II histocompatibility antigen, DP alpha-1 chain-like"
106898554,"LOC106898554","H-2 class II histocompatibility antigen, A-Q alpha chain-like"
106898489,"ASAP3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
106892197,"ASB1","ankyrin repeat and SOCS box containing 1"
106897402,"ASB10","ankyrin repeat and SOCS box containing 10"
106898845,"ASB11","ankyrin repeat and SOCS box containing 11"
106896180,"ASB12","ankyrin repeat and SOCS box containing 12"
106899258,"ASB13","ankyrin repeat and SOCS box containing 13"
106888751,"ASB14","ankyrin repeat and SOCS box containing 14"
106900947,"ASB15","ankyrin repeat and SOCS box containing 15"
106896454,"ASB16","ankyrin repeat and SOCS box containing 16"
106900033,"ASB18","ankyrin repeat and SOCS box containing 18"
106897189,"ASB2","ankyrin repeat and SOCS box containing 2"
106900421,"ASB3","ankyrin repeat and SOCS box containing 3"
106886956,"ASB4","ankyrin repeat and SOCS box containing 4"
106899789,"ASB5","ankyrin repeat and SOCS box containing 5"
106888577,"ASB6","ankyrin repeat and SOCS box containing 6"
106890367,"ASB7","ankyrin repeat and SOCS box containing 7"
106898173,"ASB8","ankyrin repeat and SOCS box containing 8"
106898875,"ASB9","ankyrin repeat and SOCS box containing 9"
106887137,"ASCC1","activating signal cointegrator 1 complex subunit 1"
106887903,"ASCC2","activating signal cointegrator 1 complex subunit 2"
106901774,"ASCC3","activating signal cointegrator 1 complex subunit 3"
106885237,"ASCL1","achaete-scute family bHLH transcription factor 1"
106898623,"ASCL2","achaete-scute family bHLH transcription factor 2"
106902863,"ASCL3","achaete-scute family bHLH transcription factor 3"
106901169,"ASCL4","achaete-scute family bHLH transcription factor 4"
106902732,"ASF1A","anti-silencing function 1A histone chaperone"
106899473,"ASH1L","ASH1 like histone lysine methyltransferase"
106897661,"ASH2L","ASH2 like, histone lysine methyltransferase complex subunit"
106891163,"ASIC1","acid sensing ion channel subunit 1"
106896452,"ASIC2","acid sensing ion channel subunit 2"
106895018,"ASIC4","acid sensing ion channel subunit family member 4"
106889664,"ASIC5","acid sensing ion channel subunit family member 5"
106887617,"ASIP","agouti signaling protein"
106898780,"ASMT","acetylserotonin O-methyltransferase"
106898846,"ASMTL","acetylserotonin O-methyltransferase like"
106886984,"ASNS","asparagine synthetase (glutamine-hydrolyzing)"
106895311,"ASNSD1","asparagine synthetase domain containing 1"
106894618,"ASPA","aspartoacylase"
106897033,"ASPG","asparaginase"
106886570,"ASPH","aspartate beta-hydroxylase"
106889608,"ASPHD2","aspartate beta-hydroxylase domain containing 2"
106888839,"ASPM","assembly factor for spindle microtubules"
106894685,"ASPN","asporin"
106893538,"ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing"
106892271,"ASRGL1","asparaginase and isoaspartyl peptidase 1"
106888516,"ASS1","argininosuccinate synthase 1"
106885524,"ASTE1","asteroid homolog 1"
106888938,"ASTN1","astrotactin 1"
106893975,"ASTN2","astrotactin 2"
106896689,"ASXL1","ASXL transcriptional regulator 1"
106899686,"ASXL2","ASXL transcriptional regulator 2"
106885100,"ASXL3","ASXL transcriptional regulator 3"
106901019,"ASZ1","ankyrin repeat, SAM and basic leucine zipper domain containing 1"
106902837,"ATAD1","ATPase family AAA domain containing 1"
106902134,"ATAD2","ATPase family AAA domain containing 2"
106896702,"ATAD2B","ATPase family AAA domain containing 2B"
106887777,"ATAD3A","ATPase family AAA domain containing 3A"
106892408,"ATAD5","ATPase family AAA domain containing 5"
106900268,"ATCAY","ATCAY kinesin light chain interacting caytaxin"
106889871,"ATE1","arginyltransferase 1"
106891156,"ATF1","activating transcription factor 1"
106895221,"ATF2","activating transcription factor 2"
106893353,"ATF3","activating transcription factor 3"
106901186,"ATF4","activating transcription factor 4"
106888931,"ATF6","activating transcription factor 6"
106898191,"ATF7","activating transcription factor 7"
106901195,"ATF7IP","activating transcription factor 7 interacting protein"
106884750,"ATF7IP2","activating transcription factor 7 interacting protein 2"
106898915,"ATG10","autophagy related 10"
106891141,"ATG101","autophagy related 101"
106897296,"ATG12","autophagy related 12"
106892784,"ATG13","autophagy related 13"
106890900,"ATG14","autophagy related 14"
106893876,"ATG16L1","autophagy related 16 like 1"
106897122,"ATG2B","autophagy related 2B"
106891115,"ATG3","autophagy related 3"
106895578,"ATG4A","autophagy related 4A cysteine peptidase"
106900800,"ATG4B","autophagy related 4B cysteine peptidase"
106886460,"ATG4C","autophagy related 4C cysteine peptidase"
106901771,"ATG5","autophagy related 5"
106893596,"ATG7","autophagy related 7"
106895294,"ATG9A","autophagy related 9A"
106884972,"ATL1","atlastin GTPase 1"
106901724,"ATL2","atlastin GTPase 2"
106902555,"ATM","ATM serine/threonine kinase"
106888237,"ATMIN","ATM interactor"
106896818,"ATN1","atrophin 1"
106887155,"ATOH7","atonal bHLH transcription factor 7"
106902884,"ATOH8","atonal bHLH transcription factor 8"
106889474,"ATOSA","atos homolog A"
106894068,"ATOSB","atos homolog B"
106891275,"ATOX1","antioxidant 1 copper chaperone"
106898867,"ATP10A","ATPase phospholipid transporting 10A (putative)"
106891426,"ATP10B","ATPase phospholipid transporting 10B (putative)"
106895159,"ATP10D","ATPase phospholipid transporting 10D (putative)"
106889245,"ATP11A","ATPase phospholipid transporting 11A"
106886713,"ATP11B","ATPase phospholipid transporting 11B (putative)"
106895500,"ATP11C","ATPase phospholipid transporting 11C"
106886750,"ATP12A","ATPase H+/K+ transporting non-gastric alpha2 subunit"
106886923,"ATP13A1","ATPase 13A1"
106900499,"ATP13A2","ATPase cation transporting 13A2"
106890261,"ATP13A3","ATPase 13A3"
106890253,"ATP13A5","ATPase 13A5"
106896881,"ATP1A1","ATPase Na+/K+ transporting subunit alpha 1"
106891059,"ATP1B1","ATPase Na+/K+ transporting subunit beta 1"
106893633,"ATP1B3","ATPase Na+/K+ transporting subunit beta 3"
106895548,"ATP1B4","ATPase Na+/K+ transporting family member beta 4"
106901353,"ATP23","ATP23 metallopeptidase and ATP synthase assembly factor homolog"
106899914,"ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2"
106894541,"ATP2A3","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3"
106901205,"ATP2B1","ATPase plasma membrane Ca2+ transporting 1"
106897798,"ATP2B2","ATPase plasma membrane Ca2+ transporting 2"
106895816,"ATP2B4","ATPase plasma membrane Ca2+ transporting 4"
106885523,"ATP2C1","ATPase secretory pathway Ca2+ transporting 1"
106888385,"ATP2C2","ATPase secretory pathway Ca2+ transporting 2"
106889259,"ATP4B","ATPase H+/K+ transporting subunit beta"
106892302,"ATP5F1A","ATP synthase F1 subunit alpha"
106898226,"ATP5F1B","ATP synthase F1 subunit beta"
106892141,"ATP5F1C","ATP synthase F1 subunit gamma"
106897740,"ATP5F1D","ATP synthase F1 subunit delta"
106895876,"ATP5F1E","ATP synthase F1 subunit epsilon"
106892168,"ATP5IF1","ATP synthase inhibitory factor subunit 1"
106897914,"ATP5MC1","ATP synthase membrane subunit c locus 1"
106895323,"ATP5MC3","ATP synthase membrane subunit c locus 3"
106897472,"ATP5ME","ATP synthase membrane subunit e"
106892359,"ATP5MG","ATP synthase membrane subunit g"
106897036,"ATP5MJ","ATP synthase membrane subunit j"
106898197,"ATP5MK","ATP synthase membrane subunit k"
106891790,"ATP5PB","ATP synthase peripheral stalk-membrane subunit b"
106892863,"ATP5PD","ATP synthase peripheral stalk subunit d"
106885658,"ATP5PF","ATP synthase peripheral stalk subunit F6"
106885655,"ATP5PO","ATP synthase peripheral stalk subunit OSCP"
54124889,"ATP6","ATP synthase F0 subunit 6"
106901356,"ATP6AP1","ATPase H+ transporting accessory protein 1"
106898930,"ATP6AP1L","ATPase H+ transporting accessory protein 1 like"
106885776,"ATP6AP2","ATPase H+ transporting accessory protein 2"
106898072,"ATP6V0A1","ATPase H+ transporting V0 subunit a1"
106901923,"ATP6V0A2","ATPase H+ transporting V0 subunit a2"
106885255,"ATP6V0A4","ATPase H+ transporting V0 subunit a4"
106886486,"ATP6V0B","ATPase H+ transporting V0 subunit b"
106897808,"ATP6V0C","ATPase H+ transporting V0 subunit c"
106891990,"ATP6V0D1","ATPase H+ transporting V0 subunit d1"
106902152,"ATP6V0D2","ATPase H+ transporting V0 subunit d2"
106891409,"ATP6V0E1","ATPase H+ transporting V0 subunit e1"
106902911,"ATP6V1B1","ATPase H+ transporting V1 subunit B1"
106897632,"ATP6V1B2","ATPase H+ transporting V1 subunit B2"
106902230,"ATP6V1C1","ATPase H+ transporting V1 subunit C1"
106896682,"ATP6V1C2","ATPase H+ transporting V1 subunit C2"
106887936,"ATP6V1D","ATPase H+ transporting V1 subunit D"
106885353,"ATP6V1E1","ATPase H+ transporting V1 subunit E1"
106893989,"ATP6V1G1","ATPase H+ transporting V1 subunit G1"
106888870,"ATP6V1G3","ATPase H+ transporting V1 subunit G3"
106885111,"ATP6V1H","ATPase H+ transporting V1 subunit H"
106895677,"ATP7A","ATPase copper transporting alpha"
106902612,"ATP7B","ATPase copper transporting beta"
54124885,"ATP8","ATP synthase F0 subunit 8"
106897275,"ATP8A1","ATPase phospholipid transporting 8A1"
106902520,"ATP8A2","ATPase phospholipid transporting 8A2"
106886650,"ATP8B1","ATPase phospholipid transporting 8B1"
106899423,"ATP8B2","ATPase phospholipid transporting 8B2"
106897367,"ATP8B3","ATPase phospholipid transporting 8B3"
106889013,"ATP9A","ATPase phospholipid transporting 9A (putative)"
106887493,"ATP9B","ATPase phospholipid transporting 9B (putative)"
106886489,"ATPAF1","ATP synthase mitochondrial F1 complex assembly factor 1"
106884708,"ATPAF2","ATP synthase mitochondrial F1 complex assembly factor 2"
106887421,"ATPSCKMT","ATP synthase c subunit lysine N-methyltransferase"
106893615,"ATR","ATR serine/threonine kinase"
106899973,"ATRAID","all-trans retinoic acid induced differentiation factor"
106894721,"ATRIP","ATR interacting protein"
106902945,"ATRN","attractin"
106898306,"ATRNL1","attractin like 1"
106895587,"ATRX","ATRX chromatin remodeler"
106887285,"ATXN1","ataxin 1"
106885868,"ATXN10","ataxin 10"
106888226,"ATXN1L","ataxin 1 like"
106900208,"ATXN2","ataxin 2"
106897159,"ATXN3","ataxin 3"
106890813,"ATXN7","ataxin 7"
106901283,"ATXN7L1","ataxin 7 like 1"
106896455,"ATXN7L3","ataxin 7 like 3"
106891202,"AUH","AU RNA binding methylglutaconyl-CoA hydratase"
106890093,"AUP1","AUP1 lipid droplet regulating VLDL assembly factor"
106889074,"AURKA","aurora kinase A"
106887684,"AURKAIP1","aurora kinase A interacting protein 1"
106894402,"AUTS2","activator of transcription and developmental regulator AUTS2"
106887877,"AVEN","apoptosis and caspase activation inhibitor"
106892343,"AVL9","AVL9 cell migration associated"
106897070,"AVPI1","arginine vasopressin induced 1"
106901006,"AVPR1A","arginine vasopressin receptor 1A"
106895806,"AVPR1B","arginine vasopressin receptor 1B"
106888820,"AXDND1","axonemal dynein light chain domain containing 1"
106893931,"AXIN2","axin 2"
106885516,"AZI2","5-azacytidine induced 2"
106902168,"AZIN1","antizyme inhibitor 1"
106890566,"AZIN2","antizyme inhibitor 2"
106899692,"B2M","beta-2-microglobulin"
106890257,"B3GALNT1","beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
106892918,"B3GALNT2","beta-1,3-N-acetylgalactosaminyltransferase 2"
106895206,"B3GALT1","beta-1,3-galactosyltransferase 1"
106888919,"B3GALT2","beta-1,3-galactosyltransferase 2"
106898555,"LOC106898555","class II histocompatibility antigen, B-L beta chain-like"
106898556,"LOC106898556","single-strand selective monofunctional uracil DNA glycosylase-like"
106898557,"LOC106898557","UDP-glucose 4-epimerase-like"
106898560,"LOC106898560","transcription elongation factor B polypeptide 3-like"
106898561,"LOC106898561","chromosome unknown open reading frame, human C2orf42"
106898562,"LOC106898562","UDP-glucose 4-epimerase-like"
106898563,"LOC106898563","transcription elongation factor B polypeptide 3-like"
106898564,"LOC106898564","kelch-like protein 31"
106898565,"LOC106898565","transcription elongation factor B polypeptide 3-like"
106898568,"LOC106898568","erythroblast NAD(P)(+)--arginine ADP-ribosyltransferase pseudogene"
106898569,"LOC106898569","erythroblast NAD(P)(+)--arginine ADP-ribosyltransferase-like"
106898571,"LOC106898571","uncharacterized LOC106898571"
106898575,"LOC106898575","matrix metalloproteinase-16-like"
106898576,"LOC106898576","matrix metalloproteinase-14-like"
106898577,"LOC106898577","protein-arginine deiminase type-1-like"
106898578,"LOC106898578","protein-arginine deiminase type-1-like"
106898581,"LOC106898581","uncharacterized LOC106898581"
106898582,"LOC106898582","rho GTPase-activating protein SYDE1-like"
106898583,"LOC106898583","alpha-actinin-4-like"
106898584,"LOC106898584","alpha-actinin-4-like"
106898586,"LOC106898586","alpha-actinin-4-like"
106898587,"LOC106898587","semaphorin-4C-like"
106898591,"LOC106898591","tubulin alpha-8 chain pseudogene"
106898595,"LOC106898595","myosin-6"
106898603,"LOC106898603","uncharacterized LOC106898603"
106898604,"LOC106898604","tubulin alpha-1 chain"
106898609,"LOC106898609","uncharacterized LOC106898609"
106898610,"LOC106898610","nck-associated protein 1-like"
106898612,"LOC106898612","intestinal mucin-like protein"
106898615,"LOC106898615","uncharacterized LOC106898615"
106898616,"LOC106898616","inositol 1,4,5-trisphosphate receptor-interacting protein-like 1"
106898624,"LOC106898624","uncharacterized LOC106898624"
106898625,"LOC106898625","mucin-2-like"
106898629,"LOC106898629","mucin-5B"
106898641,"LOC106898641","L-lactate dehydrogenase A chain"
106898644,"LOC106898644","potassium channel subfamily K member 16-like"
106898645,"LOC106898645","uncharacterized LOC106898645"
106898646,"LOC106898646","uncharacterized LOC106898646"
106898651,"LOC106898651","uncharacterized LOC106898651"
106898652,"LOC106898652","uncharacterized LOC106898652"
106898653,"LOC106898653","nascent polypeptide-associated complex subunit alpha, muscle-specific form-like"
106898664,"LOC106898664","tumor necrosis factor receptor superfamily member 10B-like"
106898665,"LOC106898665","Hermansky-Pudlak syndrome 5 protein-like"
106898667,"LOC106898667","uncharacterized LOC106898667"
106898670,"LOC106898670","serum amyloid A protein-like"
106898671,"LOC106898671","Hermansky-Pudlak syndrome 5 protein-like"
106898673,"LOC106898673","uncharacterized LOC106898673"
106898680,"LOC106898680","cytosolic 5'-nucleotidase 1A-like"
106898681,"LOC106898681","protein FAM179A-like"
106898685,"LOC106898685","protein Wiz-like"
106898686,"LOC106898686","protein Wiz-like"
106898687,"LOC106898687","protein Wiz-like"
106898689,"LOC106898689","mucolipin-1-like"
106898690,"LOC106898690","neuropathy target esterase-like"
106898691,"LOC106898691","mucolipin-1-like"
106898692,"LOC106898692","uncharacterized LOC106898692"
106898694,"LOC106898694","uncharacterized LOC106898694"
106898695,"LOC106898695","cuticle collagen 34-like"
106898696,"LOC106898696","ruvB-like 2"
106898697,"LOC106898697","ruvB-like 2"
106898698,"LOC106898698","uncharacterized LOC106898698"
106898699,"LOC106898699","proline-rich protein 36-like"
106898700,"LOC106898700","putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16"
106898701,"LOC106898701","dynamin-2"
106898702,"LOC106898702","beta-1,3-galactosyltransferase 2-like"
106898708,"LOC106898708","cilia- and flagella-associated protein 52-like"
106898709,"LOC106898709","cilia- and flagella-associated protein 52-like"
106898712,"LOC106898712","TBC1 domain family member 24-like"
106898716,"LOC106898716","G1/S-specific cyclin-D3-like"
106898717,"LOC106898717","ras association domain-containing protein 8-like"
106898718,"LOC106898718","granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like"
106898719,"LOC106898719","uncharacterized LOC106898719"
106898724,"LOC106898724","gamma-taxilin-like"
106898726,"LOC106898726","granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like"
106898730,"LOC106898730","cytochrome c oxidase assembly protein COX15 homolog"
106898733,"LOC106898733","chloride channel protein 1-like"
106898736,"LOC106898736","lysozyme g-like"
106898738,"LOC106898738","gamma-tubulin complex component 5-like"
106898747,"LOC106898747","uncharacterized LOC106898747"
106898753,"LOC106898753","MAP7 domain-containing protein 2-like"
106898755,"LOC106898755","oligophrenin-1-like"
106898756,"LOC106898756","rho GTPase-activating protein 20-like"
106898758,"LOC106898758","regucalcin"
106898759,"LOC106898759","arylsulfatase D-like"
106898763,"LOC106898763","uncharacterized LOC106898763"
106898764,"LOC106898764","toll-like receptor 7"
106898765,"LOC106898765","uncharacterized LOC106898765"
106898766,"LOC106898766","uncharacterized LOC106898766"
106898767,"LOC106898767","lysozyme g-like"
106898777,"LOC106898777","lysozyme g-like"
106898779,"LOC106898779","regucalcin-like"
106898781,"LOC106898781","uncharacterized LOC106898781"
106898783,"LOC106898783","interleukin-5 receptor subunit alpha-like"
106898784,"LOC106898784","uncharacterized LOC106898784"
106898785,"LOC106898785","uncharacterized LOC106898785"
106898786,"LOC106898786","uncharacterized LOC106898786"
106898796,"LOC106898796","uncharacterized LOC106898796"
106898798,"LOC106898798","granulocyte-macrophage colony-stimulating factor receptor subunit alpha-like"
106898802,"LOC106898802","cytochrome c oxidase assembly factor 5"
106898805,"LOC106898805","uncharacterized LOC106898805"
106898808,"LOC106898808","uncharacterized LOC106898808"
106898814,"LOC106898814","cohesin subunit SA-2-like"
106898832,"LOC106898832","fibronectin type III domain-containing protein 9-like"
106898850,"LOC106898850","arylsulfatase D-like"
106898852,"LOC106898852","arylsulfatase D-like"
106898855,"LOC106898855","toll-like receptor 7"
106898857,"LOC106898857","CASP-like protein 4A2"
106898866,"LOC106898866","uncharacterized LOC106898866"
106898871,"LOC106898871","uncharacterized LOC106898871"
106898882,"LOC106898882","phosphatidylinositol N-acetylglucosaminyltransferase subunit A-like"
106898883,"LOC106898883","phosphatidylinositol N-acetylglucosaminyltransferase subunit A-like"
106898887,"LOC106898887","uncharacterized LOC106898887"
106898888,"LOC106898888","zinc finger protein RFP-like"
106898889,"LOC106898889","E3 ubiquitin-protein ligase TRIM39-like"
106898891,"LOC106898891","zinc finger protein 628-like"
106898892,"LOC106898892","serine protease 53-like"
106898893,"LOC106898893","vitamin K epoxide reductase complex subunit 1-like protein 1"
106898894,"LOC106898894","zinc finger protein 271-like"
106898895,"LOC106898895","mitogen-activated protein kinase 7-like"
106898896,"LOC106898896","zinc finger protein 316-like"
106898897,"LOC106898897","pre-mRNA-splicing factor ISY1 homolog"
106898898,"LOC106898898","pre-mRNA-splicing factor ISY1 homolog"
106898900,"LOC106898900","interleukin enhancer-binding factor 3-like"
106898901,"LOC106898901","AP-1 complex subunit mu-2-like"
106898902,"LOC106898902","sphingosine 1-phosphate receptor 1-like"
106898904,"LOC106898904","uncharacterized LOC106898904"
106898908,"LOC106898908","uncharacterized LOC106898908"
106898911,"LOC106898911","inositol 1,4,5-trisphosphate receptor-interacting protein-like 1"
106898912,"LOC106898912","endoplasmic reticulum aminopeptidase 1-like"
106898917,"LOC106898917","inositol 1,4,5-trisphosphate receptor-interacting protein-like 1"
106898927,"LOC106898927","tetranectin-like"
106898933,"LOC106898933","butyrophilin subfamily 1 member A1-like"
106898934,"LOC106898934","tetranectin-like"
106898935,"LOC106898935","butyrophilin subfamily 1 member A1-like"
106898937,"LOC106898937","endogenous retrovirus group K member 18 Pol protein-like"
106898938,"LOC106898938","endogenous retrovirus group K member 8 Pol protein-like"
106898940,"LOC106898940","survival motor neuron protein-like"
106898941,"LOC106898941","small EDRK-rich factor 1"
106898943,"LOC106898943","general transcription factor IIH subunit 2"
106898948,"LOC106898948","transmembrane protein 198-like"
106898954,"LOC106898954","extended synaptotagmin-3-like"
106898959,"LOC106898959","uncharacterized LOC106898959"
106898960,"LOC106898960","uncharacterized LOC106898960"
106898963,"LOC106898963","E3 ubiquitin-protein ligase TRIM39-like"
106898964,"LOC106898964","E3 ubiquitin-protein ligase TRIM39 pseudogene"
106898965,"LOC106898965","tripartite motif-containing protein 7-like"
106898966,"LOC106898966","tripartite motif-containing protein 7-like"
106898967,"LOC106898967","zinc finger protein RFP-like"
106898968,"LOC106898968","tripartite motif-containing protein 7-like"
106898969,"LOC106898969","tripartite motif-containing protein 7-like"
106898971,"LOC106898971","tripartite motif-containing protein 15-like"
106898972,"LOC106898972","E3 ubiquitin-protein ligase TRIM39-like"
106898973,"LOC106898973","E3 ubiquitin-protein ligase TRIM39-like"
106898974,"LOC106898974","E3 ubiquitin-protein ligase TRIM39-like"
106898975,"LOC106898975","uncharacterized LOC106898975"
106898977,"LOC106898977","voltage-dependent calcium channel gamma-7 subunit-like"
106898979,"LOC106898979","uncharacterized LOC106898979"
106898983,"LOC106898983","52 kDa repressor of the inhibitor of the protein kinase-like"
106898984,"LOC106898984","52 kDa repressor of the inhibitor of the protein kinase-like"
106898987,"LOC106898987","uncharacterized LOC106898987"
106898993,"LOC106898993","uncharacterized LOC106898993"
106898995,"LOC106898995","Ig kappa chain V-III region VG-like"
106898996,"LOC106898996","feather keratin Cos2-3-like"
106898997,"LOC106898997","feather keratin Cos2-3-like"
106898998,"LOC106898998","transmembrane protein 132C-like"
106898999,"LOC106898999","uncharacterized LOC106898999"
106899000,"LOC106899000","uncharacterized LOC106899000"
106899002,"LOC106899002","uncharacterized LOC106899002"
106899004,"LOC106899004","collagen alpha-3(IV) chain-like"
106899005,"LOC106899005","guanylate cyclase soluble subunit beta-2-like"
106899015,"LOC106899015","uncharacterized LOC106899015"
106899022,"LOC106899022","uncharacterized LOC106899022"
106899023,"LOC106899023","uncharacterized LOC106899023"
106899030,"LOC106899030","uncharacterized LOC106899030"
106899041,"LOC106899041","uncharacterized LOC106899041"
106899042,"LOC106899042","protocadherin gamma-A10-like"
106899043,"LOC106899043","protocadherin gamma-B5-like"
106899044,"LOC106899044","protocadherin gamma-A9-like"
106899046,"LOC106899046","protocadherin gamma-B5-like"
106899047,"LOC106899047","olfactory receptor 14A16-like"
106899048,"LOC106899048","olfactory receptor 14A16-like"
106899050,"LOC106899050","olfactory receptor 14C36-like"
106899051,"LOC106899051","olfactory receptor 14J1-like"
106899052,"LOC106899052","olfactory receptor 14J1-like"
106899053,"LOC106899053","olfactory receptor 14J1-like"
106899054,"LOC106899054","olfactory receptor 14J1-like"
106899055,"LOC106899055","serine/threonine-protein kinase SBK1-like"
106899056,"LOC106899056","uncharacterized LOC106899056"
106899057,"LOC106899057","butyrophilin subfamily 3 member A1-like"
106899058,"LOC106899058","deleted in malignant brain tumors 1 protein-like"
106899059,"LOC106899059","zinc finger protein 883-like"
106899060,"LOC106899060","scavenger receptor cysteine-rich domain-containing group B protein-like"
106899061,"LOC106899061","sulfotransferase family cytosolic 2B member 1-like"
106899062,"LOC106899062","olfactory receptor 14J1-like"
106899063,"LOC106899063","olfactory receptor 14A16-like"
106899064,"LOC106899064","CD5 antigen-like"
106899065,"LOC106899065","deleted in malignant brain tumors 1 protein-like"
106899066,"LOC106899066","uncharacterized LOC106899066"
106899067,"LOC106899067","uncharacterized LOC106899067"
106899069,"LOC106899069","butyrophilin subfamily 2 member A1-like"
